School Expenditure per Student,Teacher-Student Ratio,Test Score Percentile,Highschool Dropout Rate,Mean Parent Income,Teenage Pregnancy Rate
4.316,20.2,4.951,0.009,79200,0.099
4.316,20.2,4.951,0.009,55400,0.174
4.316,20.2,4.951,0.009,71600,0.173
4.316,20.2,4.951,0.009,66800,0.187
4.316,20.2,4.951,0.009,73000,0.12
6.148,18.5,-7.514,0.035,92500,0.174
6.148,18.5,-7.514,0.035,164500,0.049
6.148,18.5,-7.514,0.035,97200,0.089
6.148,18.5,-7.514,0.035,118700,0.13
6.148,18.5,-7.514,0.035,104800,0.094
6.148,18.5,-7.514,0.035,193100,0.093
6.148,18.5,-7.514,0.035,117500,0.068
6.148,18.5,-7.514,0.035,105700,0.105
4.954,17.7,7.534,0.002,74000,0.15
4.954,17.7,7.534,0.002,77700,0.123
4.954,17.7,7.534,0.002,102600,0.111
4.303,15.7,9.889,0.007,61200,0.128
4.303,15.7,9.889,0.007,65400,0.159
4.303,15.7,9.889,0.007,59700,0.172
4.303,15.7,9.889,0.007,57800,0.167
4.541,18.1,5.43,0.031,63200,0.157
4.541,18.1,5.43,0.031,87100,0.142
4.541,18.1,5.43,0.031,70300,0.115
4.541,18.1,5.43,0.031,61900,0.166
4.601,17.3,4.534,0.009,51600,0.13
4.601,17.3,4.534,0.009,60900,0.193
5.634,15.4,1.478,-0.008,62800,0.113
5.634,15.4,1.478,-0.008,60000,0.169
5.634,15.4,1.478,-0.008,81600,0.138
