id	absolute
29067	42.7
29069	40
29071	44.2
29073	44.1
29075	49.7
29077	41.1
29079	43.2
29081	47.1
29083	42
29085	
29087	49.1
29089	45.7
29091	43.4
29093	41.6
29095	37.3
29097	42.2
29099	42.8
29101	42.5
29103	
29105	41.9
29107	44.2
29109	43.7
29111	48.2
29113	43.6
29115	48.4
29117	46.6
29119	41.7
29121	46.3
29123	43.1
29125	44.1
29127	44.5
29129	
29131	42.9
29133	38
29135	46.3
29137	47.5
29139	46.4
29141	42.4
29143	38.7
29145	44
29147	51.5
29149	46.8
29151	54.2
29153	43.6
29155	37.5
29157	46.5
29159	43.2
29161	41.4
29163	43.8
29165	43.8
29167	43.4
29169	41.1
29171	
29173	48.1
29175	40
29177	47
29179	47.5
29181	39.7
29183	44.3
29185	44.3
29186	45.2
29187	40.5
29189	39.1
29195	43.1
29197	
29199	
29201	41.8
29203	42.7
29205	54.8
29207	44.4
29209	43.3
29211	46.5
29213	40.2
29215	43.7
29217	43.6
29219	41.8
29221	41
29223	43.6
29225	41.2
29227	
29229	43
29510	32.2
30001	51.2
30003	33.9
30005	39.9
30007	
30009	49.9
30011	
30013	45.8
30015	51.8
30017	50.8
30019	
30021	56.1
30023	45.2
30025	
30027	50.3
30029	45.1
30031	47
30033	
30035	34.4
30037	
30039	
30041	42.9
30043	49.1
30045	
30047	41.8
30049	44.7
30051	
30053	47.7
30055	
30057	
30059	
30061	
30063	44
30065	
30067	45.2
30069	
30071	51.6
30073	50.4
30075	
30077	45.8
30079	
30081	47.7
30083	58.9
30085	42.4
30087	40.5
30089	48.3
30091	
30093	47.5
30095	52.6
30097	
30099	52.5
30101	
30103	
30105	50.7
30107	
30109	
30111	46.9
31001	49.7
31003	53.4
31005	
31007	
31009	
31011	61.3
31013	51.6
31015	
31017	
31019	51
31021	50.8
31023	55.1
31025	49.5
31027	63.2
31029	
31031	50.4
31033	50.8
31035	55.9
31037	55.4
31039	56.9
31041	54.6
31043	49.2
31045	53.8
31047	49.3
31049	
31051	52.9
31053	51
31055	40
31057	
31059	56.8
31061	
31063	
31065	55.3
31067	49
31069	
31071	
31073	
31075	
31077	
31079	48.5
31081	52.6
31083	
31085	
31087	
31089	57.7
31091	
31093	55.7
31095	55
31097	
31099	52.2
31101	51.9
31103	
31105	
31107	58.9
31109	42.4
31111	47.5
31113	
31115	
31117	
31119	50.8
31121	51.4
31123	56.1
31125	
31127	55.7
31129	
31131	49.9
31133	
31135	
31137	50.8
31139	57.2
31141	54.3
31143	
31145	51.7
31147	51.7
31149	
31151	55
31153	45.2
31155	51.3
31157	47
31159	52.9
31161	52.6
31163	
31165	
31167	
31169	59.4
31171	
31173	35.6
31175	
31177	53.3
31179	59.6
31181	
31183	
31185	53.7
32001	43.9
32003	39.9
32005	43
32007	46.3
32009	
32011	
32013	46.4
32015	48.2
32017	
32019	41.1
32021	
32023	41.6
32027	
32029	
32031	41.1
32033	48.1
32510	41.9
33001	44.7
33003	44.7
33005	42.2
33007	45.7
33009	43.7
33011	44.2
33013	43.2
33015	45
33017	43.1
33019	41.8
34001	38.9
34003	52.4
34005	44
34007	39.9
34009	42.7
34011	39.1
34013	38.7
34015	43.7
34017	44.1
34019	51.2
34021	39.4
34023	47
34025	45.1
34027	49.5
34029	45.6
34031	42.3
34033	42.3
34035	46.7
34037	47.8
34039	43.8
34041	47.1
35001	39.6
35003	
35005	41.2
35006	36.5
35007	44.7
35009	43.1
35011	
35013	41.3
35015	47.9
35017	41.3
35019	
35021	
35023	42.2
35025	48.6
35027	44.2
35028	49.2
35029	41.4
35031	32.1
35033	
35035	41.5
35037	43.2
35039	38.8
35041	42.4
35043	38.1
35045	40.3
35047	40.1
35049	40.5
35051	40.8
35053	39.9
35055	39.8
35057	41.6
35059	
35061	39
36001	42.3
36003	43.9
36005	38.5
36007	42.9
36009	44.2
36011	43.3
36013	42.6
36015	41
36017	43.3
36019	44.2
36021	42
36023	43.6
36025	45.5
36027	43
36029	42.6
36031	45.9
36033	41.5
36035	42.9
36037	44.6
36039	45.2
36041	
36043	45
36045	43.2
36047	41.8
36049	50.2
36051	45.6
36053	44
36055	39.3
36057	43.6
36059	49.7
36061	40.7
36063	41.5
36065	43.4
36067	40.3
36069	43.9
36071	42.3
36073	44.8
36075	42.9
36077	45.4
36079	51.5
36081	46.8
36083	42.8
36085	46.5
36087	44.5
36089	44.7
36091	45.5
36093	41.5
36095	45.4
36097	44.3
36099	45.4
36101	45.1
36103	47.2
36105	42.3
36107	41.6
36109	43.3
36111	42.6
36113	43.2
36115	43.5
36117	42
36119	45
36121	47.5
36123	45.6
37001	36.5
37003	37.7
37005	41.6
37007	33.6
37009	37.5
37011	40.3
37013	37.4
37015	37.4
37017	36.3
37019	36.1
37021	38.2
37023	36.2
37025	35.7
37027	34.7
37029	37.5
37031	39.7
37033	36.7
37035	36
37037	38.7
37039	39.8
37041	37.9
37043	41.9
37045	35.2
37047	35.5
37049	36.9
37051	35.9
