commuting zone id,racial segregation,school exp per student,ts ratio,test score percentile,hs dropout rate,teenage labor force,violent crime,single mothers,divorced
4501,0.157,6.784,14.8,-5.552,0.030,0.002,0.000,0.199,0.112
4502,0.096,6.442,15.2,-7.906,0.010,0.002,0.000,0.192,0.102
4601,0.067,5.746,15.5,0.819,0.006,0.004,0.001,0.191,0.110
4602,0.047,5.814,16.6,-2.443,0.010,0.003,0.001,0.191,0.107
4701,0.223,4.481,18.5,-17.145,0.042,0.003,0.002,0.381,0.087
4702,0.141,4.294,18.5,-17.675,-0.001,0.003,0.001,0.357,0.083
4800,0.218,4.344,18.7,-20.082,0.011,0.002,0.002,0.434,0.083
4901,0.223,4.965,,-8.155,-0.009,0.004,0.003,0.269,0.113
4902,0.160,4.951,,-3.103,-0.005,0.003,0.004,0.300,0.121
4903,0.078,3.920,,1.607,-0.022,0.004,0.002,0.194,0.121
5000,0.123,4.352,17.9,-8.120,-0.008,0.003,0.001,0.246,0.108
5100,0.128,4.329,16.7,-1.450,-0.016,0.004,0.001,0.195,0.113
5201,0.088,4.111,18.4,-1.196,-0.014,0.003,0.002,0.196,0.092
5202,0.360,4.768,19.7,-15.570,0.020,0.004,0.002,0.322,0.106
5300,0.199,4.632,17.2,-14.367,0.024,0.003,0.002,0.368,0.097
5401,0.123,5.925,17.3,3.097,-0.008,0.004,0.001,0.203,0.105
5402,0.071,5.620,15.4,-1.207,-0.006,0.004,0.001,0.185,0.108
5500,0.113,4.217,,-4.083,-0.010,0.004,0.002,0.199,0.113
5600,0.249,5.088,,-6.695,0.014,0.004,0.002,0.223,0.115
5700,0.093,4.669,,-2.540,-0.012,0.004,0.001,0.196,0.103
5800,0.083,4.441,,2.489,-0.013,0.004,0.002,0.206,0.116
5900,0.133,5.298,17.3,-0.633,-0.004,0.003,0.002,0.203,0.101
6000,0.225,5.140,16.5,-7.679,-0.006,0.004,0.002,0.204,0.108
6100,0.265,4.591,17.6,-7.767,0.009,0.004,0.002,0.198,0.110
6200,0.196,4.862,16.6,-3.315,-0.007,0.003,0.001,0.196,0.102
6301,0.064,4.085,,-1.519,-0.015,0.003,0.003,0.198,0.123
6302,0.083,5.842,,2.410,-0.027,0.004,0.001,0.178,0.107
6401,0.335,4.825,18.1,-7.888,0.026,0.004,0.003,0.228,0.117
6402,0.076,4.418,,0.409,-0.004,0.004,0.001,0.197,0.112
6501,0.110,5.193,17.0,-3.837,0.021,0.004,0.001,0.158,0.110
6502,0.075,4.251,,-4.013,-0.014,0.004,0.002,0.184,0.115
6600,0.181,5.324,16.3,-4.992,0.035,0.003,0.001,0.180,0.108
6700,0.232,6.228,18.3,-2.514,-0.001,0.004,,0.252,0.125
6800,0.171,5.569,18.4,-7.088,0.025,0.003,,0.240,0.107
6900,0.214,6.457,18.9,-1.082,0.004,0.005,,0.230,0.110
7000,0.330,6.895,21.3,-6.999,0.006,0.003,,0.258,0.117
7100,0.248,6.852,19.4,-5.311,-0.008,0.004,,0.226,0.107
7200,0.263,6.896,18.6,-4.293,0.023,0.005,,0.215,0.108
7300,0.144,5.628,18.0,9.036,-0.015,0.004,,0.227,0.119
7400,0.181,5.695,19.9,-2.660,0.004,0.003,,0.231,0.110
7500,0.196,5.831,17.6,0.434,-0.025,0.004,,0.249,0.120
7600,0.223,5.353,19.9,-0.763,0.032,0.004,0.002,0.252,0.124
7700,0.118,5.592,18.8,-5.551,-0.009,0.003,,0.246,0.122
7800,0.158,5.344,17.6,1.125,-0.003,0.004,,0.246,0.113
7900,0.137,5.897,18.2,-1.607,0.016,0.003,,0.276,0.104
8000,0.134,5.429,17.2,-8.166,-0.009,0.003,0.003,0.286,0.089
8100,0.215,5.947,15.3,-3.569,-0.007,0.004,0.002,0.279,0.088
8201,0.084,5.594,15.0,-17.549,-0.017,0.003,0.003,0.353,0.076
